"op","instance_id","id","name","activity_id","entry_status_username","startenddescription","enabled","stdevadjustmultiplier","schema_name","status_date","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-07-06 01:49:38.772159","234","Main Rd Glenalta to Fullarton / Cross","1","Old Belair Rd / Fullarton Rd","Glenalta Rail Crossing to Cross Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772166","235","Main Road Glenalta to Britannia","1","Old Belair Road / Fullarton Road","Glenalta Rail Crossing to Britannia","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772172","236","552-South Road - Grange Road to Regency Road","1","South Road","Grange Road to Regency Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772179","237","552-South Road - Grange Road to Port River Expressway","1","South Road","Grange Road to Port River Expressway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772185","238","Glenalta to Greenhill / Unley Road","1","Belair Road / Unley Road","Glenalta Rail Crossing to Greenhill Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772192","239","Glenalta to Greenhill / Glen Osmond","1","Fullarton Road / Glen Osmond Road","Glenalta Rail Crossing to Greenhill Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772199","240","Ashford to Brighton Rd","1","ANZAC Highway","Leader Street to Brighton Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772205","241","Hallet Cove to Sturt Road","1","Lonsdale Highway / Brighton Road","Lander Road to Sturt Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772211","242","Hallet Cove to ANZAC Highway","1","Lonsdale Highway / Brighton Road","Lander Road to ANZAC Highway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772218","243","Hallet Cove to Sir Donald Bradman Drive","1","Lonsdale Highway / Brighton Road","Lander Road to Sir Donald Bradman Drive","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772224","244","Paradise to Fullarton Road via Payneham Road","1","Payneham Road","George Street to Fullarton Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772231","245","Paradise to Fullarton Road via Portrush Rd","1","Payneham Road","George Street to Fullarton Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772237","246","Paradise to Fullarton Road via Glynburn Rd","1","Payneham Road","George Street to Fullarton Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772244","247","806-O-Bahn Inbound","1","O-Bahn","Tea Tree Plaza to Hackney Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772250","248","806-Golden Grove Rd / North East Road to Hackney Road","1","North East Road","Golden Grove Road to Hackney / Bundeys","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772256","249","801 - City to TTP via O-Bahn","1","O-Bahn","East Terrace to TTP","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772262","250","801-City to TTP via North East Road","1","North East Road","East Tce to TTP","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772268","251","Port River Expressway closed","1","Port River Expressway","Closed between Nelson Street and Hanson Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772275","252","Port RIver Expressway closure","1","Port River Expressway","closed between Nelson St and Hanson Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772282","253","56-South Eastern Fwy - Lwr Safety Ramp to City via Glen Osmond Rd","1","ACH / GLEN OSMOND RD (CB)","VMS056 to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772288","254","56-South Eastern Fwy - Lwr Safety Ramp to City via Cross Rd / Unley Rd","1","ACH / GLEN OSMOND RD (CB)","VMS056 to City via Cross Rd / Unley Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772296","255","Trailer VMS - TS070 to Airport via Greenhill Rd / Richmond Rd / Marion Rd / Sir Don","1","Greenhill Rd / Richmond Rd / Marion Rd / Sir Don","Green Hill Rd - Richmond Rd - Marion Rd - Sir Donald Bradman Drv","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772305","256","Trailer VMS - TS070 to City via Greenhill Rd / Glen Osmond Rd","1","Greenhill Rd  - Glen Osmond Rd","Greenhill Rd  - Glen Osmond Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772312","257","56-South Eastern Fwy - Lwr Safety Ramp to City via Portrush Rd / Greenhill Rd","1","SEF - Portrush Rd - Greenhill Rd","SEF - Portrush Rd - Greenhill Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772319","258","South Eastern Freeway - Lower Safety Ramp to Adelaide Airport","1","Greenhill Road","South Eastern Freeway - Lower Safety Ramp to Adelaide Airport","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772327","259","VMS520 to City via Greenhill Road","1","Greenhill Road","Fullarton Road to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772333","260","VMS 520 to City via Rundle Street","1","Fullarton Road","Fullarton Road to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772339","261","Seaford Heights to Aldinga","1","Main South Road","Robinson Rd to Aldinga Beach Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772345","262","VMS 901 to Bolivar via North South Motorway","1","North South Motorway","VMS 901 to Bolivar via North South Motorway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772352","263","VMS 901 to Bolivar via Port Wakefield Road","1","Port Wakefield Road","VMS 901 to Bolivar via Port Wakefield Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772359","264","VMS 901 to Waterloo Corner via North South Motorway","1","North South Motorway","VMS 901 to Bolivar via Port Wakefield Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772365","265","VMS 901 to Waterloo Corner via Port Wakefield Road","1","Port Wakefield Road","VMS 901 to Waterloo Corner via Port Wakefield Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772372","266","VMS 902 to Bolivar via North South Motorway","1","North South Motorway","VMS 902 to Bolivar via North South Motorway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772379","267","VMS 902 to Bolivar via Port Wakefield Road","1","Port Wakefield Road","VMS 902 to Bolivar via Port Wakefield Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772386","268","VMS 902 to Waterloo Corner via North South Motorway","1","North South Motorway","VMS 902 to Waterloo Corner via North South Motorway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772393","269","VMS 902 to Waterloo Corner via Port Wakfield Road","1","Port Wakefield Road","VMS 902 to Waterloo Corner via Port Wakefield Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772400","270","VMS 551 to Pym Street via North South Motorway","1","North South Motorway","VMS 551 South Road to Pym Street via North South Motorway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772407","271","VMS 551 to Pym Street via South Road","1","South Road","VMS 551 to Pym Street via South Road","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772413","272","VMS 551 to Regency Road via North South Motorway","1","North South Motorway","VMS 551 to Regency Road via North South Motorway","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.772420","273","VMS 612 to City (North Terrace) via Main North Road","1","Main North Road","VMS 612 to City (North Terrace)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
